,_id,id,author_id,created_at,text,Label
587842,60831beb73596eb9adbbd267,1.36E+18,1.06E+18,30/01/2021,  pharmacy support for the llynfi valley pfizer covid vaccine pilot was amazing we couldnt have done it without them unsung heroes in keeping things moving with safe handling well done all,3
499390,6083185a73596eb9adb6ca4e,1.36E+18,1.17E+18,31/01/2021,  he hasnt been vaccinated its in the article,0
296361,6081cbd273596eb9adab45f3,1.34E+18,263881174,31/12/2020, it will be months before vaccines are widely available to most texans health officials have said that people should continue wearing masks washing their hands frequently amp practicing socialdistancing they also say that vaccinated people could still carry amp spread the virus ,0
111505,6077301d0857f5cbcd3b0fec,1.33E+18,21898128,24/11/2020,for a brief balsamic vinegary moment i confused modena with moderna,0
203247,6081b69873596eb9ada61e86,1.34E+18,1.10E+18,31/12/2020,  dw noman i trust the vaccine too,3
265405,6081b79c73596eb9ada98902,1.34E+18,47201290,31/12/2020,beginning monday jan 4 and continuing through thursday jan 7 hunt regional medical center in greenville will make available 500 doses of the covid19 vaccine to tier 1b residents of hunt county ,0
322504,6081cc5173596eb9adaccbb9,1.34E+18,35921630,31/12/2020,i feel for clinician colleagues during this season  ive spent who knows how much time arguing with family on vaccines amp covid19 because people seem to know i do something in health i cant imagine its been easier for those on the front lines amp what falsehoods theyve heard,3
150036,607746d70857f5cbcd3d61e4,1.33E+18,226647089,25/11/2020, pfizer took no government funds for this project,3
80117,6076b1c70857f5cbcd38afc7,1.33E+18,2468340223,29/11/2020,good luck with this millions of americans will refuse the vaccine amp thus not travel so i guess it wont help the travel industry after all ,0
541086,608319ef73596eb9adb91989,1.36E+18,55108602,31/01/2021,   im not familiar with canadian politics so youre saying there are republicans and democrats in canada and its the republicans fault there are no vaccines in canada,0
61135,6076b1860857f5cbcd37a690,1.33E+18,62491620,30/11/2020, vaccine will eradicate the virus only,3
543205,608319fa73596eb9adb93896,1.36E+18,17022810,31/01/2021, are you rescheduling covid vaccines for the 212021 snowstorm how to find out plans,0
32972,6076b1280857f5cbcd36196b,1.33E+18,53515854,30/11/2020,shoot me up with the covid vaccine cuz i refuse to be in the house for my bday again in march ,3
557928,60831a4d73596eb9adba13ff,1.36E+18,1.23E+18,31/01/2021, omg what a shameour government needs to be honest and educate the american people with the truth about vaccines we are so used to an administration lying to us about this virusvaccines are a good thing you morons,3
156250,607746f90857f5cbcd3dc61c,1.33E+18,19272254,23/11/2020,  is that good or bad for 66 yr old me pretty sure the modena and pfizer vaccines show increased effectiveness for over 65s,3
80029,6076b1c70857f5cbcd38af17,1.33E+18,4813926062,29/11/2020, imagine trying to take credit for a vaccine that you didnt create,3
413670,6083161673596eb9adb22faf,1.36E+18,22263901,31/01/2021, i know but it just has to be done when its about anti vaccine nonsense publicduty pandemicgoingon,0
247913,6081b75673596eb9ada89499,1.34E+18,1.21E+18,31/12/2020,hospital worker fired for deliberately leaving hundreds of covid vaccine doses out of refrigerator  via ,0
576160,60831aaa73596eb9adbb196a,1.36E+18,3596376732,30/01/2021, yes i believe vaccines are effective and sometimes im just in the mood to mix with friends and strangers give social distancing and vaccines a few more months and i will be out there,3
506981,6083187d73596eb9adb73acf,1.36E+18,7.01E+17,31/01/2021, i gave the lady who vaccinated me a box of chocolates to share with her colleagues she was overjoyed it didnt seem like much to me in return for kindness and protection,3
588358,60831bef73596eb9adbbdb2a,1.36E+18,9.47E+17,30/01/2021, is it down to sanofi producing the pfizer vaccine in france,0
220341,6081b6de73596eb9ada71125,1.34E+18,3060187388,31/12/2020, check out this blog to know what are the different covid 19 vaccinations in making  and who will get the vaccine first       covid19 vaccine who coronavirusde covidiots coronavirus covid19ireland corona coronaviruspandemic covidiots ,0
527502,608318d473596eb9adb85a62,1.36E+18,17752847,30/01/2021,lift lockdown once most vulnerable are vaccinated urges senior tory  i 100 support this  ,0
145898,607746c20857f5cbcd3d2288,1.33E+18,4699715052,26/11/2020, everyone who was injuredkilled by a texting driver should write steve jobs everyone with heart disease should write mcdonalds everyone who has overdosed should write pfizer everyone with diabetes write coke and pepsi everyone with melanoma write the sun etc etc,0
481398,6083176a73596eb9adb5ca4c,1.36E+18,335410508,31/01/2021,a protest at dodger stadium blocked people from getting their covid vaccine its the first time anyone has ever prevented a stabbing in that parking lot,0
24665,6076b10d0857f5cbcd35a2df,1.33E+18,1244139462,30/11/2020,louisiana covid19 restrictions likely to last through christmas new years and into 2021 until vaccine is available lagov lalege  via ,0
344862,6082f99573596eb9adae3bb3,1.34E+18,9.48E+17,30/12/2020, got the first dose of the pfizer vaccine on 1224 1010 highly recommend,3
227446,6081b6fa73596eb9ada7734a,1.34E+18,9.90E+17,31/12/2020,  you realize the first vaccine came from germany right,0
291315,6081b80473596eb9adaaf09c,1.34E+18,8.35E+17,31/12/2020,   maybe we should allow people in this field to enlighten us before we jump into wrong conclusions they might be growing the virus to conduct more testsso that a vaccine can be developed,0
561968,60831a6473596eb9adba51b0,1.36E+18,229417407,31/01/2021,so wait how do average families want to get the vaccines if its costing n100k families of 5 thats 500k within 2 months how now,0
503191,6083186c73596eb9adb702e4,1.36E+18,33914560,31/01/2021, im in michigan and ive been vaccinated as well as many of my friends and relatives in the over 65 group,3
124213,6077304c0857f5cbcd3bbaae,1.33E+18,1.29E+18,21/11/2020,moderna one of the evil big pharmasnot surprised ,2
235985,6081b72473596eb9ada7ec8f,1.34E+18,8.57E+17,31/12/2020,oh dear too complex a statement for some adam ant music was trite harmless pop music for teeny boopers the anti mask vaccinelockdown song is turgid and boring with lyrics of selfish stupidity coupled with racist outbursts the man should keep quiet  ,3
421272,6083163273596eb9adb29775,1.36E+18,95295400,31/01/2021,  why knowingly provoke our neighbours by ordering more than we need during a world pandemic particularly when trust is an issue vaccinenationalism vaccine littlebritain eu,0
481648,6083176a73596eb9adb5cc40,1.36E+18,318857880,31/01/2021,india becomes the fastest country to administer 3million doses of covid vaccine ,0
397691,608315d973596eb9adb15384,1.36E+18,1.29E+18,31/01/2021, how about  what a sick person what does she think that we can go buy the vaccine at the dollar store the headline for tomorrow should be republicans demand biden cut covid economic aid by 70,0
226377,6081b6f673596eb9ada764c7,1.34E+18,7.51E+17,31/12/2020,californias rich white unvaccinated kindergartners ,0
40028,6076b1400857f5cbcd367f33,1.33E+18,1.04E+18,30/11/2020, you didnt come up with the vaccine scientists came up with the vaccine they are the ones working night and day to put out a vaccine to try and save this s show you have ignored,3
17242,6076b0f40857f5cbcd353871,1.33E+18,91432503,30/11/2020, certainly interesting to know what the vegan view is on a non vegan vaccinevegans veganism vegetarians veganfood vegetarian,0
391358,6083105473596eb9adb0f3d0,1.34E+18,4160274844,28/12/2020, the moderna vaccine a partnership between the nih amp moderna and the astrazeneca vaccine a frontrunning nonmrna candidate in fact created by scientists at the university of oxford and developed and distributed by astrazeneca,3
543780,608319fc73596eb9adb94004,1.36E+18,1.35E+18,31/01/2021, vaccines used globallysinovac br  cn  id  tr,0
42896,6076b14a0857f5cbcd36a83e,1.33E+18,3624192977,30/11/2020,for example the laiv vaccine in the uk cannot be administered children who suffer from asthma as it causes many problems this brings in the concept of herd immunity  the majority of people being vaccinated can protect those who cannot be vaccinated because of health problems,3
304724,6081cbfc73596eb9adabc781,1.34E+18,21445220,31/12/2020,   its not new and im also not in the medical field i dont know what i dont know i dont know what it means for vaccines to go bad do they mold like food i dont know do i know that they contain certain proteins and such and my small mind equates the two maaaaybe,1
389608,6083104773596eb9adb0d4fe,1.34E+18,309276031,28/12/2020, not only that he amp his fda buddies have slowed down and blocked the only vaccine we should use ino 4800 is 100 effective no cold storage no aes and can be boosted indefinitely unlike pfz amp moderna they did animal studies b4 human read the peer review that was just released,3
106091,607730090857f5cbcd3ac721,1.33E+18,20189287,26/11/2020,reminder dolly parton partly funded moderna covid vaccine research macysparade,3
15053,6076b0ec0857f5cbcd351736,1.33E+18,383377247,30/11/2020, cant wait to take the covid vaccine but you dont get a flu shot per last years discussion with  im older than you but a few years ago i got the flu before i had a chance to get the flu shot got pneumonia almost died,3
62878,6076b18d0857f5cbcd37c01b,1.33E+18,728894570,30/11/2020,researchers highlight potential advantages of mucosal vaccine  all health ampamp fitness tips child health coronavirus source newsmedical   ,0
381224,60830fc373596eb9adb04633,1.34E+18,1945738118,31/12/2020,im a moderna man but were slaying ,3
277321,6081b7cc73596eb9adaa2f6d,1.34E+18,8.70E+17,31/12/2020,in a statement it pfizer said there are no data to demonstrate that protection after the first dose is sustained after 21 days interestingvery interesting ,1
422381,6083163673596eb9adb2a607,1.36E+18,1.09E+18,31/01/2021, and its true that black people and poc are allowed to feel scared of the vaccine bc of the way they are treated in the healthcare system but still that tweet shouldnt be worded like that,0
455434,608316b673596eb9adb46c30,1.36E+18,156980230,31/01/2021,professor pbrains blog vaccine nationalism   before becoming too vaccine nationalistic we should all be made aware that we need international effort to deal with vaccine development to reduce viral mutation and monitor new pandemic threats,3
79522,6076b1c50857f5cbcd38a82a,1.33E+18,302798925,29/11/2020,    sir the washington post you should have given me the frequencies to communist beijing china if the washington post is the best you can do it is you speaking nonsense fact the vaccine is ready for distribution trump is president biden is nowhere,0
505868,6083187773596eb9adb729d5,1.36E+18,1738149912,31/01/2021,1200 deaths were announced yesterday even if all teachers and staff vaccinated parents grandparents etc at home are not kids can still pass it between each other it really shouldnt be this difficult to understand ,0
152879,607746e60857f5cbcd3d8e86,1.33E+18,3272255588,24/11/2020,its amazing to see our industry come together to find new treatment options for covid19 states rick greenfield ceo of realtime we are getting very close to finding a new vaccine  ,3
268683,6081b7aa73596eb9ada9b742,1.34E+18,381248506,31/12/2020, yeah the phases are important should be followed but if youre going to lose vaccine screw the phases,0
127232,607730570857f5cbcd3be312,1.33E+18,1.08E+18,20/11/2020,wasnt a part of pfizer or moderna but these vaccines underwent rigorous testing with thousands of people diversity was one of the biggest factors in selecting volunteers as was physical health and quantity of inperson interaction giving it to the general public is not,3
179509,607aee750857f5cbcdc04947,1.33E+18,20134195,19/11/2020,sign the petition to make sure that any covid19 vaccine developed with public money is made affordable to all coronavirus ,0
263600,6081b79573596eb9ada96ee3,1.34E+18,1.30E+18,31/12/2020,to all our friends in medicalscience  whether you designed a vaccine ran pcr tests stayed home to protect others stepped up to teach your children helped someone out or made someone smile we say thank you we are proud of you academicchatter medsci newyear ,3
298651,6081cbdd73596eb9adab68db,1.34E+18,1947947790,31/12/2020,kylewalkers having a party bring your vaccines or youre charlies,0
438578,6083167473596eb9adb38567,1.36E+18,1.13E+18,31/01/2021, thank you for bigging up a publicly run concern nhsbut i thought you told us only privately run companies could do such wonderful things vaccine developmentso were you just wrong or lying,1
252729,6081b76a73596eb9ada8d84f,1.34E+18,466098660,31/12/2020, the cognitive dissonance required to enjoy the privileges of society like roads and highways public transportation supermarkets while simultaneously disbelieving in vaccine and public health science especially when you work in health care is so infuriating,0
298335,6081cbdc73596eb9adab63a9,1.34E+18,1483048177,31/12/2020, operation waste of human skin your 18 million short of the 20 million vaccines your inept stupid loser ass promised by today pack,0
199878,6081b68a73596eb9ada5eec1,1.34E+18,80994991,31/12/2020,who issues its first emergency use validation for a covid19 vaccine and emphasizes need for equitable global access ,0
167347,607ae2740857f5cbcdbf488d,1.33E+18,79253992,28/11/2020,pm narendra modi to embark on a 3 city visit today to review covid19 vaccine developmentvia namo app ,0
478181,6083175c73596eb9adb59e50,1.36E+18,21414607,31/01/2021, went to al ittihad center today for the 2nd dose of the vaccine and the situation was really out of hand people were cramped against the wall no organization no social distancing complete chaos this is not okay and should be handled better,1
324378,6081cc5973596eb9adace59f,1.34E+18,2373909360,31/12/2020,oxford researcher confident covid vaccines can be adapted to protect against future virus strains nurse researcher covid oxford pfizer expert ,3
541264,608319ef73596eb9adb91b0f,1.36E+18,8.27E+17,31/01/2021,  try albertsons in corona my father said its the one by the va so i think the one on ontario they have vaccines 951 7349765,0
468580,6083173573596eb9adb51ed1,1.36E+18,26467668,31/01/2021,so why if there are cheaper effective readily available tried amp tested medicines such as ivermectin and hydroxychloroquine to combat covid are we not looking at them in australia as alternatives to an untried vaccine   no brainer surely ,1
253197,6081b76c73596eb9ada8df08,1.34E+18,3030522367,31/12/2020,vaccines take a while to kick in experts say that means the body is doing its job via nyt  ,1
504209,6083187073596eb9adb710cc,1.36E+18,1.03E+18,31/01/2021, you have the right not to get vaccinated but you do not have the right to stop someone who does,0
518977,608318ad73596eb9adb7e2c2,1.36E+18,7.40E+17,30/01/2021,getting vaccinated in a week lets fuckin gooooooo ,3
435888,6083166a73596eb9adb361cf,1.36E+18,9.72E+17,31/01/2021, from the guardian israel health ministry figures may provide further concern for the uk policy it showed that 42 of israels 834 critically ill patients had already received one shot of the pfizer vaccine that figure dropped to 2 after the second jab,3
519162,608318af73596eb9adb7e721,1.36E+18,590719293,30/01/2021,my university got me and the rest of my mates health insured a few years back when we lost a seniorit would be amazing if they get all enrolled students vaccinated under the same insurance and open campusseems impossible health insurance seemed impossible too back then,3
19620,6076b0fc0857f5cbcd355afa,1.33E+18,885354228,30/11/2020,this isnt getting enough attention theres lots of reasons that people wont take the vaccine such as fear of deportation this must be addressed by passing bills like s covid community care act which provide outreach funding ,1
590902,60831bf973596eb9adbbfb4b,1.36E+18,1.25E+18,30/01/2021,cardiothoracic surgeon warns fda pfizer on immunological danger of covid vaccines in recently convalescent and asymptomatic carrierspfizer and moderna must consider the danger covid vaccines pose to the recently convalescent or asymptomatic carriers  ,1
185931,607aeedf0857f5cbcdc09dcc,1.33E+18,75246711,16/11/2020,   pfizer and biontech have found positive results in new covid19 vaccine in recent trials the best part  they can be stored at room temperature for 5 years and you can mix it with your favourite drink also it tastes yummy also stocks should go up 5 minimum moderna,3
300240,6081cbe573596eb9adab8128,1.34E+18,1250165227,31/12/2020,  in the case of vaccines at least where i grew up france both political sides have been responsible which makes me even more pessimistic,1
9175,6076b0d80857f5cbcd34c234,1.33E+18,814256,30/11/2020,  if they wanna find me with the moderna vaccine im cool with it,3
154401,607746ee0857f5cbcd3da67c,1.33E+18,414946220,24/11/2020,coronavirus india might not need pfizer vaccine says health minister covid19,0
296761,6081cbd473596eb9adab4bf5,1.34E+18,2877129462,31/12/2020, depends where you goon mars and venus children are vaccinated when they are old enough as new diseases are discovered usually brought from earth new vaccines are created for them and added to the regimen old ones drop off after the disease has been eradicated,0
357505,6082f9c673596eb9adaee3e4,1.34E+18,1.29E+18,30/12/2020,     were talking about covid list his accomplishments on that and dont say the vaccine since owss involvement on pfizer was only distribution which theyve failed at the rest of his 4 years is debatable get out of our own media void and youll see the truth,0
35952,6076b1330857f5cbcd364693,1.33E+18,1486051064,30/11/2020,theres absolutely no need for segregation around travel etc if youve had the vaccine youre in no danger from those who havent had it,0
63268,6076b18e0857f5cbcd37c5c0,1.33E+18,283941168,30/11/2020,pm  holds virtual meet with 3 teams working on manufacturing amp development of covid vaccinegennone biopharmaceuticals pune bioligical e hyderabad amp dr reddys laboratories hyderabad ,0
288869,6081b7fa73596eb9adaacf52,1.34E+18,431028226,31/12/2020,new beer name   vaccine quarantino ,0
517945,608318a973596eb9adb7d4d3,1.36E+18,1.29E+18,30/01/2021, a friend who works as a respiratory therapist with covid patients was vaccinated a few weeks ago theyd been living in a state of terror from working in such a high exposure environment for months now,0
309854,6081cc1773596eb9adac1659,1.34E+18,7.80E+17,31/12/2020,                                                  yes it all does the vaccines give your diseases you listed aboveand more,1
299204,6081cbe173596eb9adab72df,1.34E+18,204959130,31/12/2020,no word on vaccines from the school district,0
456505,608316ba73596eb9adb47a46,1.36E+18,1.26E+18,31/01/2021, some of those teachers are now doubting the vaccine after hearing so many unfounded claimssome people teachers included have been made to believe that the vaccine is meant to kill africans so l think its wise to vaccinate government officials and mps first to build trust,1
355241,6082f9bd73596eb9adaec4bd,1.34E+18,152732038,30/12/2020,ireland officially begins a vaccination programme against covid19 using pfizerbiontechs tozinameran vaccine with a 79yearold woman from dublin becoming the first person to receive the vaccine  ,3
258272,6081b77f73596eb9ada9246b,1.34E+18,3429492521,31/12/2020,   just see satanist kaballa harris acting out shes really taking the covid vaccine repulsive,2
400377,608315e373596eb9adb177ac,1.36E+18,49532121,31/01/2021,over 200 girls hospitalized after receiving vaccine ,2
184702,607aeed00857f5cbcdc08eaa,1.33E+18,373310489,16/11/2020,great to see our call to  to prioritise parents of children with lifelimiting conditions amp disabilities to get covid19 vaccine has uk wide coverage  parents want to be well enough to care for their child amp many found caring responsibilities increased post lockdown ,3
350409,6082f9aa73596eb9adae84d0,1.34E+18,1.18E+18,30/12/2020, reasons why 1 aggressive acquisition from pfizer early on at higher price than most european countries 30 bucks per dose 2 buying unpackaged dose and quick repackaging the have good pharm resources 3 centralized healthcare with only 4 health groups  5 idf mobilized,0
343263,6082f98d73596eb9adae24b2,1.34E+18,2918919935,31/12/2020,   not true  protection starts at day ten after the first dose  the uk today approved delaying the second dose of pfizers vaccine up to 12 weeks instead of the originally approved 3 weeks ,0
251098,6081b76273596eb9ada8bfac,1.34E+18,110194870,31/12/2020,i feel for state and local public health officials stuck with having to form plans for rolling out the covid vaccine without uniform guidance or direction from the administration,0
582277,60831bbb73596eb9adbb8819,1.36E+18,7306602,31/01/2021, fdr built an entire city in the desert and fully funded three wildly different theories of how build an atom bomb theory it would work this virus is mutating like crazy build ten facilities to manufacture it pay pfizer 1billion cash for the patent and crank of doses 247,2
488967,6083178873596eb9adb630a6,1.36E+18,270376047,31/01/2021,now they admit the wuflu vaccine is worthless  via ,2
263137,6081b79473596eb9ada96b45,1.34E+18,806763878,31/12/2020,  i would show up whatever time they want me if it got me the vaccine,3
349653,6082f9a873596eb9adae7c1f,1.34E+18,2824598695,30/12/2020,  also pfizer has never said the vaccine is 100 effective there will be a small fraction of people who will still contract the virus even after getting the vaccine the important phrase is small fraction,1
255663,6081b77673596eb9ada9011f,1.34E+18,253546222,31/12/2020,cuomo reveals drug addicts in rehab will get vaccine before elderlythe governor of new york andrew cuomo has come in for criticism over his planned rollout of the coronavirus vaccine it would see drug addicts being given covid19 vaccines before the elderlydailymail co uk ,1
481997,6083176c73596eb9adb5d1d3,1.36E+18,22026705,31/01/2021,     astra vaccine shows 90 only on 1345 trial test  this is a very small trial to prove efficacy of vaccine,1
342606,6082f98b73596eb9adae1c7a,1.34E+18,154314321,31/12/2020,a nurse in california tested positive for covid19 more than a week after receiving pfizer incs vaccine short pfe ,1
490555,6083178e73596eb9adb64600,1.36E+18,7.93E+17,31/01/2021,ask the experts covid19 vaccine  now banned on youtube and facebook ,0
557020,60831a4773596eb9adba072e,1.36E+18,792406016,31/01/2021,vaccines will they be mandatorysee why robert f kennedy jr just sued major mediaregister to watch for free here  via al,0
173453,607ae2bd0857f5cbcdbf9f02,1.33E+18,3589010426,23/11/2020,   thank the lord that biden was elected and trump will have nothing to do with deployment of the covid19 vaccinebidenharris covidvaccinenow georgia its time warnockossoffforsenate warnockforsenate covidrelief covidreliefnow runoffelection ossoffforsenate vote  ,3
360353,6082f9d273596eb9adaf0a15,1.34E+18,1.33E+18,29/12/2020,    yes why cant we just turn testing site into immunization sites ship the freezers across the country for pfizer or just plain refrigerators for moderna and be done,3
78050,6076b1c00857f5cbcd3893fe,1.33E+18,144686555,29/11/2020, i didnt know that a vaccine has officially hit the market,0
33573,6076b12b0857f5cbcd362475,1.33E+18,8.37E+17,30/11/2020,why do you need a vaccine for a hoax shitforbrains worstpresidentever lameduckdonald onetermpresident presidentialeviction ,2
583111,60831bbf73596eb9adbb9432,1.36E+18,540344675,30/01/2021, hello from colorado where i received my second dose of the pfizer vaccine on jan 23rd,0
361922,6082f9d873596eb9adaf1e17,1.34E+18,1.06E+18,29/12/2020, israel vax 100k per day they are also extracting 6 doses of pfizer per vial versus the originally recommended 5  incredible they have also secured in hand exponentially more pfizer than us provinces need to shape up but time for trudeau to pick up the phone,3
401890,608315e973596eb9adb18c8f,1.36E+18,1.21E+18,31/01/2021,btw disclaimer vaccine is good necessary and recommended,3
462967,608316d473596eb9adb4d178,1.36E+18,2591664506,31/01/2021, us statelevel data reveals a racial gap in who is getting the vaccines with black and hispanic people receiving far fewer covid19 inoculations than their white counterparts despite getting sick and dying at much higher rates ,0
236127,6081b72473596eb9ada7edac,1.34E+18,119788890,31/12/2020,longterm medication 5 it is not known if the vaccine will cause infertility 6 taking the vaccine will not prevent you from spreading the virus but it will only reduce the symptoms 7 you cannot breastfeed if you receive the vaccine 8 the vaccine has not been,2
348740,6082f9a473596eb9adae6f93,1.34E+18,2249503747,30/12/2020,today i received pfizer vaccination 1 i feel incredibly emotional i also feel a large sense of privilege and responsibility to have access to this vaccine after so much loss this year im taking biomedical steps against covid19 wearamask covidvaccine vaccinessavelives ,3
431764,6083165973596eb9adb3277c,1.36E+18,9.05E+17,31/01/2021, thanks i got the booster vaccine last week its a 1 to intelligence,0
220949,6081b6e073596eb9ada718f8,1.34E+18,3731212516,31/12/2020,  trump brought us the vaccine under his operationwarpedspeed  obviously he wont go against himself,0
492343,6083183773596eb9adb66081,1.36E+18,105618467,31/01/2021,the minister in charge of vaccines nadhim zahawi and london mayor sadiq khan on sunday united in a crossparty appeal to people from ethnic minority backgrounds to be vaccinated – amid concern that their reluctance could harm the national fight ,0
540503,608319eb73596eb9adb90f6b,1.36E+18,7.95E+17,31/01/2021, maybe there are many many many other whiteppl who have not received their vaccines cnn stop the racial divide,0
530744,608318e073596eb9adb88527,1.36E+18,1.11E+18,30/01/2021,  no its not once fully vaccinated you can open up the local economy and prohibit travelling to the uk for anyone who isnt vaccinated vaccinating everyone in the world will take the same amount of time no matter who gets vaccinated first so might as well prioritise local pop,0
558744,60831a5273596eb9adba2020,1.36E+18,1.20E+18,31/01/2021,israel to give some coronavirus vaccines to palestinians ,0
72964,6076b1af0857f5cbcd384b87,1.33E+18,142844200,30/11/2020,scientists say we can end the pandemic without a vaccine if at least 70 of the population wore a mask in public spaces,0
551653,60831a2673596eb9adb9b597,1.36E+18,1694339808,31/01/2021, not sure if it makes you feel better or worse  but in the suburbs we have not gotten any air filters or improvements to ventilation to address covid we got one cloth mask in august and maybe will get vaccines by the end of february stay safe and stay strong ️,0
23262,6076b1080857f5cbcd358e1f,1.33E+18,961191096,30/11/2020,  and suffering where does that falls on your if its not fatal it doesnt matter scale of concernstransmission to others not a concern for you either1st vaccine shot in summer 2nd in fall oh but a cure within weeks as in 40 weeksyou gotta be kidding me,1
